"pupil","class","extrav","sex","texp","popular","popteach","Zextrav","Zsex","Ztexp","Zpopular","Zpopteach","Cextrav","Ctexp","Csex"
"15",15,1,5,1,24,6,5,-0.170314900016734,0.988812544054697,1.48615282515864,0.668018477521944,-0.0430845059620013,-0.215,9.737,0.5
"16",16,1,6,1,24,5.7,5,0.621847425642499,0.988812544054697,1.48615282515864,0.451023682159935,-0.0430845059620013,0.785,9.737,0.5
"17",17,1,4,0,24,3.2,2,-0.962477225675968,-1.010808374155,1.48615282515864,-1.35726627919014,-2.1795062892016,-1.215,9.737,-0.5
"18",18,1,4,0,24,3.1,3,-0.962477225675968,-1.010808374155,1.48615282515864,-1.42959787764415,-1.4673656947884,-1.215,9.737,-0.5
"19",19,1,7,1,24,6.6,7,1.41400975130173,0.988812544054697,1.48615282515864,1.10200806824596,1.3811966828644,1.785,9.737,0.5
"20",20,1,4,0,24,4.8,4,-0.962477225675968,-1.010808374155,1.48615282515864,-0.199960703926093,-0.755225100375202,-1.215,9.737,-0.5
"21",1,2,8,1,14,6.4,6,2.20617207696097,0.988812544054697,-0.0401415418523911,0.957344871337956,0.669056088451199,2.785,-0.263,0.5
"22",2,2,4,0,14,2.4,3,-0.962477225675968,-1.010808374155,-0.0401415418523911,-1.93591906682217,-1.4673656947884,-1.215,-0.263,-0.5
"23",3,2,6,0,14,3.7,4,0.621847425642499,-1.010808374155,-0.0401415418523911,-0.995608286920127,-0.755225100375202,0.785,-0.263,-0.5
"24",4,2,5,1,14,4.4,4,-0.170314900016734,0.988812544054697,-0.0401415418523911,-0.489287097742105,-0.755225100375202,-0.215,-0.263,0.5
"25",5,2,5,1,14,4.3,4,-0.170314900016734,0.988812544054697,-0.0401415418523911,-0.561618696196108,-0.755225100375202,-0.215,-0.263,0.5
"26",6,2,5,0,14,4,4,-0.170314900016734,-1.010808374155,-0.0401415418523911,-0.778613491558118,-0.755225100375202,-0.215,-0.263,-0.5
"27",7,2,4,1,14,3.8,5,-0.962477225675968,0.988812544054697,-0.0401415418523911,-0.923276688466124,-0.0430845059620013,-1.215,-0.263,0.5
"28",8,2,5,0,14,4.2,5,-0.170314900016734,-1.010808374155,-0.0401415418523911,-0.633950294650111,-0.0430845059620013,-0.215,-0.263,-0.5
"29",9,2,6,1,14,5.1,4,0.621847425642499,0.988812544054697,-0.0401415418523911,0.0170340914359159,-0.755225100375202,0.785,-0.263,0.5
"30",10,2,4,1,14,4.1,4,-0.962477225675968,0.988812544054697,-0.0401415418523911,-0.706281893104115,-0.755225100375202,-1.215,-0.263,0.5
"31",11,2,6,1,14,4.6,5,0.621847425642499,0.988812544054697,-0.0401415418523911,-0.344623900834099,-0.0430845059620013,0.785,-0.263,0.5
"32",12,2,4,0,14,4.9,3,-0.962477225675968,-1.010808374155,-0.0401415418523911,-0.12762910547209,-1.4673656947884,-1.215,-0.263,-0.5
"33",13,2,4,0,14,3.1,4,-0.962477225675968,-1.010808374155,-0.0401415418523911,-1.42959787764415,-0.755225100375202,-1.215,-0.263,-0.5
"34",14,2,3,0,14,3.2,3,-1.7546395513352,-1.010808374155,-0.0401415418523911,-1.35726627919014,-1.4673656947884,-2.215,-0.263,-0.5
"35",15,2,6,0,14,4.4,5,0.621847425642499,-1.010808374155,-0.0401415418523911,-0.489287097742105,-0.0430845059620013,0.785,-0.263,-0.5
"36",16,2,5,1,14,3.7,4,-0.170314900016734,0.988812544054697,-0.0401415418523911,-0.995608286920127,-0.755225100375202,-0.215,-0.263,0.5
"37",17,2,5,1,14,6.1,6,-0.170314900016734,0.988812544054697,-0.0401415418523911,0.740350075975947,0.669056088451199,-0.215,-0.263,0.5
"38",18,2,3,1,14,3.5,5,-1.7546395513352,0.988812544054697,-0.0401415418523911,-1.14027148382813,-0.0430845059620013,-2.215,-0.263,0.5
"39",19,2,4,0,14,2.9,3,-0.962477225675968,-1.010808374155,-0.0401415418523911,-1.57426107455215,-1.4673656947884,-1.215,-0.263,-0.5
"40",20,2,5,0,14,3.3,3,-0.170314900016734,-1.010808374155,-0.0401415418523911,-1.28493468073614,-1.4673656947884,-0.215,-0.263,-0.5
"41",1,3,5,0,13,4.2,4,-0.170314900016734,-1.010808374155,-0.192770978553494,-0.633950294650111,-0.755225100375202,-0.215,-1.263,-0.5
"42",2,3,5,1,13,6,6,-0.170314900016734,0.988812544054697,-0.192770978553494,0.668018477521944,0.669056088451199,-0.215,-1.263,0.5
"43",3,3,4,1,13,4.6,5,-0.962477225675968,0.988812544054697,-0.192770978553494,-0.344623900834099,-0.0430845059620013,-1.215,-1.263,0.5
"44",4,3,4,1,13,4.9,4,-0.962477225675968,0.988812544054697,-0.192770978553494,-0.12762910547209,-0.755225100375202,-1.215,-1.263,0.5
"45",5,3,6,0,13,4.7,3,0.621847425642499,-1.010808374155,-0.192770978553494,-0.272292302380096,-1.4673656947884,0.785,-1.263,-0.5
"46",6,3,5,1,13,4.8,4,-0.170314900016734,0.988812544054697,-0.192770978553494,-0.199960703926093,-0.755225100375202,-0.215,-1.263,0.5
"47",7,3,5,0,13,2.8,3,-0.170314900016734,-1.010808374155,-0.192770978553494,-1.64659267300615,-1.4673656947884,-0.215,-1.263,-0.5
"48",8,3,7,1,13,6.7,5,1.41400975130173,0.988812544054697,-0.192770978553494,1.17433966669997,-0.0430845059620013,1.785,-1.263,0.5
"49",9,3,4,1,13,4.9,5,-0.962477225675968,0.988812544054697,-0.192770978553494,-0.12762910547209,-0.0430845059620013,-1.215,-1.263,0.5
"50",10,3,7,1,13,6.3,6,1.41400975130173,0.988812544054697,-0.192770978553494,0.885013272883953,0.669056088451199,1.785,-1.263,0.5
"51",11,3,6,1,13,5.6,6,0.621847425642499,0.988812544054697,-0.192770978553494,0.378692083705931,0.669056088451199,0.785,-1.263,0.5
"52",12,3,4,1,13,3.1,3,-0.962477225675968,0.988812544054697,-0.192770978553494,-1.42959787764415,-1.4673656947884,-1.215,-1.263,0.5
"53",13,3,5,1,13,3.5,4,-0.170314900016734,0.988812544054697,-0.192770978553494,-1.14027148382813,-0.755225100375202,-0.215,-1.263,0.5
"54",14,3,4,1,13,4.7,5,-0.962477225675968,0.988812544054697,-0.192770978553494,-0.272292302380096,-0.0430845059620013,-1.215,-1.263,0.5
"55",15,3,6,0,13,4.3,4,0.621847425642499,-1.010808374155,-0.192770978553494,-0.561618696196108,-0.755225100375202,0.785,-1.263,-0.5
"56",16,3,7,0,13,4.9,5,1.41400975130173,-1.010808374155,-0.192770978553494,-0.12762910547209,-0.0430845059620013,1.785,-1.263,-0.5
"57",17,3,6,1,13,5.9,6,0.621847425642499,0.988812544054697,-0.192770978553494,0.595686879067941,0.669056088451199,0.785,-1.263,0.5
"58",18,3,4,0,13,2.6,2,-0.962477225675968,-1.010808374155,-0.192770978553494,-1.79125586991416,-2.1795062892016,-1.215,-1.263,-0.5
"59",1,4,3,1,20,4.1,4,-1.7546395513352,0.988812544054697,0.875635078354226,-0.706281893104115,-0.755225100375202,-2.215,5.737,0.5
"60",2,4,2,1,20,5.3,5,-2.54680187699444,0.988812544054697,0.875635078354226,0.161697288343922,-0.0430845059620013,-3.215,5.737,0.5
"61",3,4,5,1,20,6.1,7,-0.170314900016734,0.988812544054697,0.875635078354226,0.740350075975947,1.3811966828644,-0.215,5.737,0.5
"62",4,4,6,1,20,6,6,0.621847425642499,0.988812544054697,0.875635078354226,0.668018477521944,0.669056088451199,0.785,5.737,0.5
"63",5,4,6,1,20,6.3,7,0.621847425642499,0.988812544054697,0.875635078354226,0.885013272883953,1.3811966828644,0.785,5.737,0.5
"64",6,4,3,0,20,4,5,-1.7546395513352,-1.010808374155,0.875635078354226,-0.778613491558118,-0.0430845059620013,-2.215,5.737,-0.5
"65",7,4,6,0,20,5.3,7,0.621847425642499,-1.010808374155,0.875635078354226,0.161697288343922,1.3811966828644,0.785,5.737,-0.5
"66",8,4,4,0,20,5.6,6,-0.962477225675968,-1.010808374155,0.875635078354226,0.378692083705931,0.669056088451199,-1.215,5.737,-0.5
"67",9,4,5,0,20,5.2,6,-0.170314900016734,-1.010808374155,0.875635078354226,0.0893656898899194,0.669056088451199,-0.215,5.737,-0.5
"68",10,4,6,1,20,6.2,7,0.621847425642499,0.988812544054697,0.875635078354226,0.81268167442995,1.3811966828644,0.785,5.737,0.5
"69",11,4,6,0,20,6.1,5,0.621847425642499,-1.010808374155,0.875635078354226,0.740350075975947,-0.0430845059620013,0.785,5.737,-0.5
"70",12,4,4,0,20,3.9,4,-0.962477225675968,-1.010808374155,0.875635078354226,-0.850945090012121,-0.755225100375202,-1.215,5.737,-0.5
"71",13,4,3,0,20,4.8,4,-1.7546395513352,-1.010808374155,0.875635078354226,-0.199960703926093,-0.755225100375202,-2.215,5.737,-0.5
"72",14,4,5,0,20,5.8,5,-0.170314900016734,-1.010808374155,0.875635078354226,0.523355280613938,-0.0430845059620013,-0.215,5.737,-0.5
"73",15,4,6,0,20,4.9,6,0.621847425642499,-1.010808374155,0.875635078354226,-0.12762910547209,0.669056088451199,0.785,5.737,-0.5
"74",16,4,5,1,20,6.6,7,-0.170314900016734,0.988812544054697,0.875635078354226,1.10200806824596,1.3811966828644,-0.215,5.737,0.5
"75",17,4,4,1,20,5.6,6,-0.962477225675968,0.988812544054697,0.875635078354226,0.378692083705931,0.669056088451199,-1.215,5.737,0.5
"76",18,4,5,0,20,4.5,5,-0.170314900016734,-1.010808374155,0.875635078354226,-0.416955499288102,-0.0430845059620013,-0.215,5.737,-0.5
"77",19,4,4,0,20,5.4,6,-0.962477225675968,-1.010808374155,0.875635078354226,0.234028886797926,0.669056088451199,-1.215,5.737,-0.5
"78",20,4,6,0,20,4.9,5,0.621847425642499,-1.010808374155,0.875635078354226,-0.12762910547209,-0.0430845059620013,0.785,5.737,-0.5
"79",21,4,4,0,20,5.4,4,-0.962477225675968,-1.010808374155,0.875635078354226,0.234028886797926,-0.755225100375202,-1.215,5.737,-0.5
"80",22,4,5,1,20,6.7,7,-0.170314900016734,0.988812544054697,0.875635078354226,1.17433966669997,1.3811966828644,-0.215,5.737,0.5
"81",23,4,7,0,20,6.3,6,1.41400975130173,-1.010808374155,0.875635078354226,0.885013272883953,0.669056088451199,1.785,5.737,-0.5
"82",1,5,7,0,5,4.2,5,1.41400975130173,-1.010808374155,-1.41380647216232,-0.633950294650111,-0.0430845059620013,1.785,-9.263,-0.5
"83",2,5,4,1,5,4,4,-0.962477225675968,0.988812544054697,-1.41380647216232,-0.778613491558118,-0.755225100375202,-1.215,-9.263,0.5
"84",3,5,5,0,5,4.7,5,-0.170314900016734,-1.010808374155,-1.41380647216232,-0.272292302380096,-0.0430845059620013,-0.215,-9.263,-0.5
"85",4,5,4,1,5,4.7,5,-0.962477225675968,0.988812544054697,-1.41380647216232,-0.272292302380096,-0.0430845059620013,-1.215,-9.263,0.5
"86",5,5,6,0,5,5.2,4,0.621847425642499,-1.010808374155,-1.41380647216232,0.0893656898899194,-0.755225100375202,0.785,-9.263,-0.5
"87",6,5,7,0,5,5.8,5,1.41400975130173,-1.010808374155,-1.41380647216232,0.523355280613938,-0.0430845059620013,1.785,-9.263,-0.5
"88",7,5,6,0,5,4.4,6,0.621847425642499,-1.010808374155,-1.41380647216232,-0.489287097742105,0.669056088451199,0.785,-9.263,-0.5
"89",8,5,4,1,5,3.8,5,-0.962477225675968,0.988812544054697,-1.41380647216232,-0.923276688466124,-0.0430845059620013,-1.215,-9.263,0.5
"90",9,5,6,1,5,5.9,5,0.621847425642499,0.988812544054697,-1.41380647216232,0.595686879067941,-0.0430845059620013,0.785,-9.263,0.5
"91",10,5,8,0,5,7,7,2.20617207696097,-1.010808374155,-1.41380647216232,1.39133446206197,1.3811966828644,2.785,-9.263,-0.5
"92",11,5,7,1,5,7.3,6,1.41400975130173,0.988812544054697,-1.41380647216232,1.60832925742398,0.669056088451199,1.785,-9.263,0.5
"93",12,5,6,1,5,5.6,6,0.621847425642499,0.988812544054697,-1.41380647216232,0.378692083705931,0.669056088451199,0.785,-9.263,0.5
"94",13,5,7,0,5,5.6,6,1.41400975130173,-1.010808374155,-1.41380647216232,0.378692083705931,0.669056088451199,1.785,-9.263,-0.5
"95",14,5,6,1,5,6.3,7,0.621847425642499,0.988812544054697,-1.41380647216232,0.885013272883953,1.3811966828644,0.785,-9.263,0.5
"96",15,5,6,0,5,4.2,4,0.621847425642499,-1.010808374155,-1.41380647216232,-0.633950294650111,-0.755225100375202,0.785,-9.263,-0.5
"97",16,5,5,1,5,4.6,5,-0.170314900016734,0.988812544054697,-1.41380647216232,-0.344623900834099,-0.0430845059620013,-0.215,-9.263,0.5
"98",17,5,6,1,5,6.1,5,0.621847425642499,0.988812544054697,-1.41380647216232,0.740350075975947,-0.0430845059620013,0.785,-9.263,0.5
"99",18,5,6,0,5,5,5,0.621847425642499,-1.010808374155,-1.41380647216232,-0.0552975070180869,-0.0430845059620013,0.785,-9.263,-0.5
"100",19,5,6,1,5,5.8,5,0.621847425642499,0.988812544054697,-1.41380647216232,0.523355280613938,-0.0430845059620013,0.785,-9.263,0.5
"101",20,5,5,0,5,5.5,6,-0.170314900016734,-1.010808374155,-1.41380647216232,0.306360485251928,0.669056088451199,-0.215,-9.263,-0.5
"102",21,5,6,0,5,5.3,5,0.621847425642499,-1.010808374155,-1.41380647216232,0.161697288343922,-0.0430845059620013,0.785,-9.263,-0.5
"103",1,6,4,0,8,4.1,4,-0.962477225675968,-1.010808374155,-0.955918162059008,-0.706281893104115,-0.755225100375202,-1.215,-6.263,-0.5
"104",2,6,6,1,8,5.8,6,0.621847425642499,0.988812544054697,-0.955918162059008,0.523355280613938,0.669056088451199,0.785,-6.263,0.5
"105",3,6,5,1,8,4.2,4,-0.170314900016734,0.988812544054697,-0.955918162059008,-0.633950294650111,-0.755225100375202,-0.215,-6.263,0.5
"106",4,6,5,1,8,3.9,4,-0.170314900016734,0.988812544054697,-0.955918162059008,-0.850945090012121,-0.755225100375202,-0.215,-6.263,0.5
"107",5,6,4,1,8,5,4,-0.962477225675968,0.988812544054697,-0.955918162059008,-0.0552975070180869,-0.755225100375202,-1.215,-6.263,0.5
"108",6,6,4,1,8,4.4,4,-0.962477225675968,0.988812544054697,-0.955918162059008,-0.489287097742105,-0.755225100375202,-1.215,-6.263,0.5
"109",7,6,6,0,8,4.3,5,0.621847425642499,-1.010808374155,-0.955918162059008,-0.561618696196108,-0.0430845059620013,0.785,-6.263,-0.5
"110",8,6,5,0,8,3.3,4,-0.170314900016734,-1.010808374155,-0.955918162059008,-1.28493468073614,-0.755225100375202,-0.215,-6.263,-0.5
"111",9,6,4,1,8,3.1,4,-0.962477225675968,0.988812544054697,-0.955918162059008,-1.42959787764415,-0.755225100375202,-1.215,-6.263,0.5
"112",10,6,7,1,8,6.4,7,1.41400975130173,0.988812544054697,-0.955918162059008,0.957344871337956,1.3811966828644,1.785,-6.263,0.5
"113",11,6,5,0,8,3.5,3,-0.170314900016734,-1.010808374155,-0.955918162059008,-1.14027148382813,-1.4673656947884,-0.215,-6.263,-0.5
"114",12,6,6,1,8,5.9,5,0.621847425642499,0.988812544054697,-0.955918162059008,0.595686879067941,-0.0430845059620013,0.785,-6.263,0.5
"115",13,6,5,1,8,4.2,5,-0.170314900016734,0.988812544054697,-0.955918162059008,-0.633950294650111,-0.0430845059620013,-0.215,-6.263,0.5
"116",14,6,3,0,8,3.5,3,-1.7546395513352,-1.010808374155,-0.955918162059008,-1.14027148382813,-1.4673656947884,-2.215,-6.263,-0.5
"117",15,6,4,1,8,4.6,5,-0.962477225675968,0.988812544054697,-0.955918162059008,-0.344623900834099,-0.0430845059620013,-1.215,-6.263,0.5
"118",16,6,6,0,8,5.1,5,0.621847425642499,-1.010808374155,-0.955918162059008,0.0170340914359159,-0.0430845059620013,0.785,-6.263,-0.5
"119",17,6,5,0,8,4.2,3,-0.170314900016734,-1.010808374155,-0.955918162059008,-0.633950294650111,-1.4673656947884,-0.215,-6.263,-0.5
"120",18,6,7,0,8,4.9,5,1.41400975130173,-1.010808374155,-0.955918162059008,-0.12762910547209,-0.0430845059620013,1.785,-6.263,-0.5
"121",19,6,5,0,8,3.6,4,-0.170314900016734,-1.010808374155,-0.955918162059008,-1.06793988537413,-0.755225100375202,-0.215,-6.263,-0.5
"122",20,6,4,0,8,2.7,3,-0.962477225675968,-1.010808374155,-0.955918162059008,-1.71892427146016,-1.4673656947884,-1.215,-6.263,-0.5
"123",1,7,6,1,17,5.8,5,0.621847425642499,0.988812544054697,0.417746768250918,0.523355280613938,-0.0430845059620013,0.785,2.737,0.5
"124",2,7,4,1,17,4.8,4,-0.962477225675968,0.988812544054697,0.417746768250918,-0.199960703926093,-0.755225100375202,-1.215,2.737,0.5
"125",3,7,4,0,17,4.4,4,-0.962477225675968,-1.010808374155,0.417746768250918,-0.489287097742105,-0.755225100375202,-1.215,2.737,-0.5
"126",4,7,4,0,17,1.7,2,-0.962477225675968,-1.010808374155,0.417746768250918,-2.44224025600019,-2.1795062892016,-1.215,2.737,-0.5
"127",5,7,4,0,17,3.6,3,-0.962477225675968,-1.010808374155,0.417746768250918,-1.06793988537413,-1.4673656947884,-1.215,2.737,-0.5
"128",6,7,5,1,17,3.8,4,-0.170314900016734,0.988812544054697,0.417746768250918,-0.923276688466124,-0.755225100375202,-0.215,2.737,0.5
"129",7,7,4,0,17,4.1,3,-0.962477225675968,-1.010808374155,0.417746768250918,-0.706281893104115,-1.4673656947884,-1.215,2.737,-0.5
"130",8,7,5,1,17,5.7,6,-0.170314900016734,0.988812544054697,0.417746768250918,0.451023682159935,0.669056088451199,-0.215,2.737,0.5
"131",9,7,6,0,17,2.9,4,0.621847425642499,-1.010808374155,0.417746768250918,-1.57426107455215,-0.755225100375202,0.785,2.737,-0.5
"132",10,7,5,1,17,4.9,6,-0.170314900016734,0.988812544054697,0.417746768250918,-0.12762910547209,0.669056088451199,-0.215,2.737,0.5
"133",11,7,5,0,17,5.1,4,-0.170314900016734,-1.010808374155,0.417746768250918,0.0170340914359159,-0.755225100375202,-0.215,2.737,-0.5
"134",12,7,6,0,17,4,3,0.621847425642499,-1.010808374155,0.417746768250918,-0.778613491558118,-1.4673656947884,0.785,2.737,-0.5
"135",13,7,4,0,17,3,4,-0.962477225675968,-1.010808374155,0.417746768250918,-1.50192947609815,-0.755225100375202,-1.215,2.737,-0.5
"136",14,7,4,1,17,4.7,5,-0.962477225675968,0.988812544054697,0.417746768250918,-0.272292302380096,-0.0430845059620013,-1.215,2.737,0.5
"137",15,7,7,0,17,2.8,4,1.41400975130173,-1.010808374155,0.417746768250918,-1.64659267300615,-0.755225100375202,1.785,2.737,-0.5
"138",16,7,5,0,17,3.7,4,-0.170314900016734,-1.010808374155,0.417746768250918,-0.995608286920127,-0.755225100375202,-0.215,2.737,-0.5
"139",17,7,6,1,17,5.1,5,0.621847425642499,0.988812544054697,0.417746768250918,0.0170340914359159,-0.0430845059620013,0.785,2.737,0.5
"140",18,7,5,0,17,3.5,3,-0.170314900016734,-1.010808374155,0.417746768250918,-1.14027148382813,-1.4673656947884,-0.215,2.737,-0.5
"141",19,7,5,1,17,4.7,4,-0.170314900016734,0.988812544054697,0.417746768250918,-0.272292302380096,-0.755225100375202,-0.215,2.737,0.5
"142",20,7,7,1,17,6,6,1.41400975130173,0.988812544054697,0.417746768250918,0.668018477521944,0.669056088451199,1.785,2.737,0.5
"143",21,7,5,0,17,4,5,-0.170314900016734,-1.010808374155,0.417746768250918,-0.778613491558118,-0.0430845059620013,-0.215,2.737,-0.5
"144",1,8,6,1,12,6.1,6,0.621847425642499,0.988812544054697,-0.345400415254597,0.740350075975947,0.669056088451199,0.785,-2.263,0.5
"145",2,8,5,0,12,3.2,3,-0.170314900016734,-1.010808374155,-0.345400415254597,-1.35726627919014,-1.4673656947884,-0.215,-2.263,-0.5
"146",3,8,4,1,12,3.3,3,-0.962477225675968,0.988812544054697,-0.345400415254597,-1.28493468073614,-1.4673656947884,-1.215,-2.263,0.5
"147",4,8,7,1,12,5,5,1.41400975130173,0.988812544054697,-0.345400415254597,-0.0552975070180869,-0.0430845059620013,1.785,-2.263,0.5
"148",5,8,6,0,12,4.2,5,0.621847425642499,-1.010808374155,-0.345400415254597,-0.633950294650111,-0.0430845059620013,0.785,-2.263,-0.5
"149",6,8,7,1,12,5.6,5,1.41400975130173,0.988812544054697,-0.345400415254597,0.378692083705931,-0.0430845059620013,1.785,-2.263,0.5
"150",7,8,6,0,12,3.9,3,0.621847425642499,-1.010808374155,-0.345400415254597,-0.850945090012121,-1.4673656947884,0.785,-2.263,-0.5
"151",8,8,5,1,12,4.5,4,-0.170314900016734,0.988812544054697,-0.345400415254597,-0.416955499288102,-0.755225100375202,-0.215,-2.263,0.5
"152",9,8,6,0,12,2.2,3,0.621847425642499,-1.010808374155,-0.345400415254597,-2.08058226373017,-1.4673656947884,0.785,-2.263,-0.5
"153",10,8,5,1,12,4.2,4,-0.170314900016734,0.988812544054697,-0.345400415254597,-0.633950294650111,-0.755225100375202,-0.215,-2.263,0.5
"154",11,8,4,0,12,1.5,2,-0.962477225675968,-1.010808374155,-0.345400415254597,-2.58690345290819,-2.1795062892016,-1.215,-2.263,-0.5
"155",12,8,5,0,12,3.2,3,-0.170314900016734,-1.010808374155,-0.345400415254597,-1.35726627919014,-1.4673656947884,-0.215,-2.263,-0.5
"156",13,8,5,0,12,2.7,3,-0.170314900016734,-1.010808374155,-0.345400415254597,-1.71892427146016,-1.4673656947884,-0.215,-2.263,-0.5
"157",14,8,5,1,12,4.1,4,-0.170314900016734,0.988812544054697,-0.345400415254597,-0.706281893104115,-0.755225100375202,-0.215,-2.263,0.5
"158",15,8,7,0,12,4.8,4,1.41400975130173,-1.010808374155,-0.345400415254597,-0.199960703926093,-0.755225100375202,1.785,-2.263,-0.5
"159",16,8,5,0,12,3.5,3,-0.170314900016734,-1.010808374155,-0.345400415254597,-1.14027148382813,-1.4673656947884,-0.215,-2.263,-0.5
"160",17,8,5,1,12,3.6,4,-0.170314900016734,0.988812544054697,-0.345400415254597,-1.06793988537413,-0.755225100375202,-0.215,-2.263,0.5
"161",18,8,7,1,12,5.5,5,1.41400975130173,0.988812544054697,-0.345400415254597,0.306360485251928,-0.0430845059620013,1.785,-2.263,0.5
"162",19,8,6,1,12,4.8,5,0.621847425642499,0.988812544054697,-0.345400415254597,-0.199960703926093,-0.0430845059620013,0.785,-2.263,0.5
"163",20,8,5,1,12,3.5,2,-0.170314900016734,0.988812544054697,-0.345400415254597,-1.14027148382813,-2.1795062892016,-0.215,-2.263,0.5
"164",1,9,6,0,9,5.2,5,0.621847425642499,-1.010808374155,-0.803288725357906,0.0893656898899194,-0.0430845059620013,0.785,-5.263,-0.5
"165",2,9,5,1,9,6,5,-0.170314900016734,0.988812544054697,-0.803288725357906,0.668018477521944,-0.0430845059620013,-0.215,-5.263,0.5
"166",3,9,5,1,9,5.1,5,-0.170314900016734,0.988812544054697,-0.803288725357906,0.0170340914359159,-0.0430845059620013,-0.215,-5.263,0.5
"167",4,9,6,1,9,5.3,6,0.621847425642499,0.988812544054697,-0.803288725357906,0.161697288343922,0.669056088451199,0.785,-5.263,0.5
"168",5,9,6,1,9,6.7,7,0.621847425642499,0.988812544054697,-0.803288725357906,1.17433966669997,1.3811966828644,0.785,-5.263,0.5
"169",6,9,5,0,9,3.6,4,-0.170314900016734,-1.010808374155,-0.803288725357906,-1.06793988537413,-0.755225100375202,-0.215,-5.263,-0.5
"170",7,9,5,0,9,3.5,4,-0.170314900016734,-1.010808374155,-0.803288725357906,-1.14027148382813,-0.755225100375202,-0.215,-5.263,-0.5
"171",8,9,5,0,9,3.9,4,-0.170314900016734,-1.010808374155,-0.803288725357906,-0.850945090012121,-0.755225100375202,-0.215,-5.263,-0.5
"172",9,9,5,0,9,4.3,5,-0.170314900016734,-1.010808374155,-0.803288725357906,-0.561618696196108,-0.0430845059620013,-0.215,-5.263,-0.5
"173",10,9,5,0,9,4,4,-0.170314900016734,-1.010808374155,-0.803288725357906,-0.778613491558118,-0.755225100375202,-0.215,-5.263,-0.5
"174",11,9,3,0,9,4.6,4,-1.7546395513352,-1.010808374155,-0.803288725357906,-0.344623900834099,-0.755225100375202,-2.215,-5.263,-0.5
"175",12,9,4,1,9,4.5,4,-0.962477225675968,0.988812544054697,-0.803288725357906,-0.416955499288102,-0.755225100375202,-1.215,-5.263,0.5
"176",13,9,4,0,9,3.6,4,-0.962477225675968,-1.010808374155,-0.803288725357906,-1.06793988537413,-0.755225100375202,-1.215,-5.263,-0.5
"177",14,9,5,0,9,2.6,3,-0.170314900016734,-1.010808374155,-0.803288725357906,-1.79125586991416,-1.4673656947884,-0.215,-5.263,-0.5
"178",15,9,4,0,9,3.9,5,-0.962477225675968,-1.010808374155,-0.803288725357906,-0.850945090012121,-0.0430845059620013,-1.215,-5.263,-0.5
"179",16,9,6,0,9,5,5,0.621847425642499,-1.010808374155,-0.803288725357906,-0.0552975070180869,-0.0430845059620013,0.785,-5.263,-0.5
"180",17,9,6,1,9,4.5,6,0.621847425642499,0.988812544054697,-0.803288725357906,-0.416955499288102,0.669056088451199,0.785,-5.263,0.5
"181",18,9,7,1,9,7.3,6,1.41400975130173,0.988812544054697,-0.803288725357906,1.60832925742398,0.669056088451199,1.785,-5.263,0.5
"182",19,9,6,1,9,6.7,7,0.621847425642499,0.988812544054697,-0.803288725357906,1.17433966669997,1.3811966828644,0.785,-5.263,0.5
